0.22131109237670898 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22132062911987305 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2214221954345703 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22113490104675293 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22117900848388672 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2212841510772705 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22191071510314941 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22155189514160156 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22172331809997559 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217578887939453 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22158408164978027 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22142291069030762 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217881679534912 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22245383262634277 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22207283973693848 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22145533561706543 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2212512493133545 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22156381607055664 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22131609916687012 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217392921447754 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2219550609588623 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22129201889038086 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2215728759765625 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22127795219421387 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22131991386413574 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2215747833251953 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22480154037475586 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2218036651611328 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22152161598205566 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22191429138183594 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22148561477661133 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2218461036682129 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22237420082092285 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2227928638458252 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22154998779296875 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22181224822998047 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217400074005127 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22236084938049316 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2234811782836914 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22278594970703125 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22284364700317383 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2229292392730713 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2238328456878662 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22256040573120117 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22304654121398926 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22170662879943848 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2225193977355957 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2228410243988037 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22382235527038574 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22188043594360352 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22130417823791504 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22174787521362305 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22174644470214844 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2213430404663086 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2215559482574463 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2229926586151123 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22275185585021973 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22284531593322754 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22121024131774902 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2222900390625 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22287321090698242 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22198200225830078 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2218308448791504 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22199416160583496 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2229139804840088 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22155547142028809 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22175002098083496 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2226419448852539 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22111129760742188 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22163939476013184 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22221899032592773 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22212719917297363 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22353386878967285 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22366666793823242 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22212529182434082 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22223281860351562 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2220923900604248 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2228560447692871 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22290492057800293 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22366952896118164 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22216057777404785 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22231554985046387 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22294259071350098 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22250580787658691 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22217965126037598 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22265195846557617 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22305846214294434 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22290730476379395 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22156715393066406 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22297143936157227 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22156906127929688 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2221386432647705 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2233428955078125 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2228095531463623 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22172284126281738 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22259187698364258 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22225141525268555 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22191381454467773 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.221663236618042 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.221893310546875 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22229242324829102 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.222395658493042 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2232654094696045 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2225484848022461 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22217822074890137 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2240149974822998 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22232842445373535 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22375226020812988 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2227916717529297 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22197246551513672 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22224068641662598 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22181463241577148 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22194647789001465 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2214961051940918 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217710018157959 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22350764274597168 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22183918952941895 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2213878631591797 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217564582824707 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22206544876098633 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2225496768951416 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22274160385131836 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2226111888885498 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2216472625732422 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22268342971801758 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
